,census_tract,count
283,36005039500.0,595
284,36005039600.0,703
285,36005039700.0,109
286,36005039800.0,345
287,36005039901.0,1638
288,36005039902.0,669
289,36005040100.0,1494
290,36005040302.0,1782
291,36005040303.0,1495
292,36005040304.0,1264
293,36005040400.0,352
294,36005040501.0,835
295,36005040502.0,1155
296,36005040600.0,907
297,36005040701.0,1974
298,36005040702.0,1063
299,36005040800.0,1228
300,36005040900.0,1
301,36005041100.0,1182
302,36005041300.0,1471
303,36005041400.0,669
304,36005041500.0,1868
305,36005041800.0,715
306,36005041900.0,1256
307,36005042000.0,1145
308,36005042100.0,2530
309,36005042200.0,953
310,36005042300.0,1240
311,36005042400.0,273
312,36005042500.0,1197
313,36005042600.0,404
314,36005042800.0,359
315,36005042901.0,1000
316,36005042902.0,2424
317,36005043000.0,221
318,36005043100.0,1108
319,36005043400.0,510
320,36005043500.0,1
321,36005043600.0,337
322,36005044200.0,688
323,36005044400.0,502
324,36005044800.0,180
325,36005044901.0,112
326,36005044902.0,173
327,36005045101.0,147
328,36005045102.0,120
329,36005045600.0,32
330,36005045800.0,2190
331,36005046000.0,436
332,36005046201.0,153
333,36005046202.0,444
334,36005048400.0,592
335,36005050400.0,28
336,36005051600.0,340
337,36047000100.0,173
338,36047000200.0,52
339,36047000301.0,110
340,36047000501.0,209
341,36047000502.0,138
342,36047000700.0,325
343,36047000900.0,163
344,36047001100.0,124
345,36047001300.0,17
346,36047001500.0,1377
347,36047001800.0,9
348,36047002000.0,157
349,36047002100.0,185
350,36047002200.0,392
351,36047002300.0,2251
352,36047002901.0,4787
353,36047003000.0,231
354,36047003100.0,15
355,36047003300.0,401
356,36047003400.0,105
357,36047003500.0,156
358,36047003600.0,782
359,36047003700.0,87
360,36047003800.0,31
361,36047003900.0,204
362,36047004100.0,239
363,36047004300.0,182
364,36047004400.0,12
365,36047004500.0,159
366,36047004600.0,5
367,36047004700.0,107
368,36047004900.0,132
369,36047005000.0,89
370,36047005100.0,100
371,36047005201.0,17
372,36047005202.0,97
373,36047005300.0,129
374,36047005400.0,259
375,36047005601.0,14
376,36047005602.0,76
377,36047005800.0,643
378,36047005900.0,457
379,36047006000.0,477
380,36047006200.0,210
381,36047006300.0,95
382,36047006400.0,350
383,36047006500.0,225
384,36047006600.0,449
385,36047006700.0,222
386,36047006800.0,376
387,36047006900.0,403
388,36047007000.0,80
389,36047007100.0,514
390,36047007200.0,293
391,36047007400.0,612
392,36047007500.0,231
393,36047007600.0,326
394,36047007700.0,122
395,36047007800.0,597
396,36047008000.0,503
397,36047008200.0,619
398,36047008400.0,171
399,36047008500.0,1522
400,36047008600.0,145
401,36047008800.0,268
402,36047009000.0,247
403,36047009200.0,781
404,36047009400.0,244
405,36047009600.0,513
406,36047009800.0,385
407,36047010000.0,305
408,36047010100.0,373
409,36047010200.0,251
410,36047010400.0,192
411,36047010600.0,202
412,36047010800.0,205
413,36047011000.0,388
414,36047011200.0,466
415,36047011400.0,240
416,36047011600.0,182
417,36047011700.0,262
418,36047011800.0,91
419,36047011900.0,89
420,36047012000.0,52
421,36047012100.0,122
422,36047012200.0,264
423,36047012600.0,241
424,36047012700.0,676
425,36047012801.0,236
426,36047012901.0,316
427,36047012902.0,178
428,36047013000.0,537
429,36047013100.0,310
430,36047013200.0,82
431,36047013300.0,291
432,36047013400.0,143
433,36047013500.0,215
434,36047013600.0,236
435,36047013700.0,231
