,GEOID,STATE,COUNTY,TRACT,LAT,LON
206,36005019400,36,005,19400,40.8331364,-73.8363127
207,36005019500,36,005,19500,40.8304775,-73.9225235
208,36005019700,36,005,19700,40.8352046,-73.9199777
209,36005019900,36,005,19900,40.8367451,-73.925441
210,36005020000,36,005,20000,40.8429687,-73.8455113
211,36005020100,36,005,20100,40.8420908,-73.9270027
212,36005020200,36,005,20200,40.8384912,-73.8475792
213,36005020400,36,005,20400,40.840856,-73.850871
214,36005020501,36,005,20501,40.8473921,-73.9237042
215,36005020502,36,005,20502,40.8513528,-73.9194602
216,36005020601,36,005,20601,40.8366233,-73.8505251
217,36005020900,36,005,20900,40.8430677,-73.9150369
218,36005021001,36,005,21001,40.8408055,-73.8582794
219,36005021002,36,005,21002,40.8384723,-73.8565194
220,36005021100,36,005,21100,40.8404508,-73.9234996
221,36005021200,36,005,21200,40.8361225,-73.8589736
222,36005021301,36,005,21301,40.8455082,-73.9197793
223,36005021302,36,005,21302,40.8429767,-73.9203643
224,36005021501,36,005,21501,40.8494359,-73.9182368
225,36005021502,36,005,21502,40.8480615,-73.9166862
226,36005021601,36,005,21601,40.8375353,-73.86482
227,36005021602,36,005,21602,40.8371834,-73.8622691
228,36005021700,36,005,21700,40.8481946,-73.9132696
229,36005021800,36,005,21800,40.8373904,-73.869755
230,36005021900,36,005,21900,40.839647,-73.9196115
231,36005022000,36,005,22000,40.8434685,-73.8723309
232,36005022101,36,005,22101,40.8382736,-73.9181358
233,36005022102,36,005,22102,40.8376823,-73.9160774
234,36005022200,36,005,22200,40.8356844,-73.8552135
235,36005022300,36,005,22300,40.8405428,-73.9150909
236,36005022401,36,005,22401,40.8550171,-73.868507
237,36005022403,36,005,22403,40.8564763,-73.8654304
238,36005022404,36,005,22404,40.8527445,-73.8663009
239,36005022500,36,005,22500,40.8401234,-73.9109711
240,36005022701,36,005,22701,40.8468094,-73.9110498
241,36005022702,36,005,22702,40.8444741,-73.9132423
242,36005022703,36,005,22703,40.8440198,-73.9104999
243,36005022800,36,005,22800,40.8534896,-73.8635363
244,36005022901,36,005,22901,40.8461072,-73.9071728
245,36005022902,36,005,22902,40.8437862,-73.9072135
246,36005023000,36,005,23000,40.8492873,-73.8660154
247,36005023100,36,005,23100,40.8461445,-73.9024996
248,36005023200,36,005,23200,40.8469746,-73.8633164
249,36005023301,36,005,23301,40.8495538,-73.908715
250,36005023302,36,005,23302,40.8482057,-73.9046739
251,36005023501,36,005,23501,40.8521923,-73.9045361
252,36005023502,36,005,23502,40.8513349,-73.9034407
253,36005023600,36,005,23600,40.8450904,-73.8672594
254,36005023702,36,005,23702,40.8606549,-73.8973142
255,36005023703,36,005,23703,40.8600426,-73.8995705
256,36005023704,36,005,23704,40.8562676,-73.9019054
257,36005023800,36,005,23800,40.8437093,-73.8610752
258,36005023900,36,005,23900,40.8588899,-73.9028771
259,36005024000,36,005,24000,40.8416182,-73.8688617
260,36005024100,36,005,24100,40.8531499,-73.9061851
261,36005024300,36,005,24300,40.8524326,-73.9115326
262,36005024400,36,005,24400,40.8462492,-73.8575203
263,36005024501,36,005,24501,40.8528844,-73.9155029
264,36005024502,36,005,24502,40.8551013,-73.9135611
265,36005024600,36,005,24600,40.8516098,-73.8611557
266,36005024700,36,005,24700,40.8553118,-73.9187867
267,36005024800,36,005,24800,40.8553409,-73.8584097
268,36005024900,36,005,24900,40.8574375,-73.9131413
269,36005025000,36,005,25000,40.8517064,-73.8557006
270,36005025100,36,005,25100,40.8565246,-73.9077291
271,36005025200,36,005,25200,40.847132,-73.8549662
272,36005025300,36,005,25300,40.8610106,-73.9045321
273,36005025400,36,005,25400,40.8484985,-73.8524773
274,36005025500,36,005,25500,40.8605391,-73.9089561
275,36005025600,36,005,25600,40.8443911,-73.850219
276,36005025700,36,005,25700,40.8601938,-73.9144391
277,36005026100,36,005,26100,40.86665,-73.9058809
278,36005026300,36,005,26300,40.8647888,-73.9044333
279,36005026400,36,005,26400,40.8417808,-73.8320781
280,36005026500,36,005,26500,40.866188,-73.9002477
281,36005026601,36,005,26601,40.8474444,-73.8341394
282,36005026602,36,005,26602,40.8459921,-73.8306465
283,36005026701,36,005,26701,40.8693417,-73.9011885
284,36005026702,36,005,26702,40.8722603,-73.9001321
285,36005026900,36,005,26900,40.865039,-73.9094977
286,36005027300,36,005,27300,40.8739329,-73.9032846
287,36005027401,36,005,27401,40.8404245,-73.8226412
288,36005027402,36,005,27402,40.8449351,-73.8153565
289,36005027600,36,005,27600,40.8525216,-73.8209505
290,36005027700,36,005,27700,40.878402,-73.9014063
291,36005027900,36,005,27900,40.8824834,-73.8972276
292,36005028100,36,005,28100,40.883807,-73.8906788
293,36005028300,36,005,28300,40.8809249,-73.9023158
294,36005028400,36,005,28400,40.8493866,-73.8387219
295,36005028500,36,005,28500,40.8864175,-73.9025909
296,36005028600,36,005,28600,40.849174,-73.8478592
297,36005028700,36,005,28700,40.8827147,-73.9046564
298,36005028800,36,005,28800,40.854292,-73.8514783
299,36005028900,36,005,28900,40.879555,-73.9072892
300,36005029301,36,005,29301,40.8827196,-73.9227136
301,36005029302,36,005,29302,40.8792851,-73.9158389
302,36005029500,36,005,29500,40.8848984,-73.9085646
303,36005029600,36,005,29600,40.8553748,-73.8450048
304,36005029700,36,005,29700,40.8849993,-73.9117786
305,36005030000,36,005,30000,40.8522011,-73.8312345
306,36005030100,36,005,30100,40.8832804,-73.9179116
307,36005030200,36,005,30200,40.8636573,-73.8223933
308,36005030701,36,005,30701,40.8931975,-73.9105904
309,36005030900,36,005,30900,40.8986778,-73.9151742
310,36005031000,36,005,31000,40.8612344,-73.8360747
311,36005031200,36,005,31200,40.8620468,-73.8424522
312,36005031400,36,005,31400,40.8615486,-73.8455438
313,36005031600,36,005,31600,40.8619716,-73.8487247
314,36005031800,36,005,31800,40.8619545,-73.8515677
315,36005031900,36,005,31900,40.9138727,-73.9111066
316,36005032300,36,005,32300,40.9053119,-73.9075469
317,36005032400,36,005,32400,40.8613415,-73.8597052
318,36005032600,36,005,32600,40.8621878,-73.8554778
319,36005032800,36,005,32800,40.8617366,-73.8631301
320,36005033000,36,005,33000,40.8616561,-73.8660255
321,36005033201,36,005,33201,40.8594756,-73.8692323
322,36005033202,36,005,33202,40.8633818,-73.8689413
323,36005033400,36,005,33400,40.8600152,-73.8743058
324,36005033500,36,005,33500,40.8942652,-73.9052413
325,36005033600,36,005,33600,40.8684896,-73.8688853
326,36005033700,36,005,33700,40.9062277,-73.9025219
327,36005033800,36,005,33800,40.8684379,-73.8658167
