,census_tract,rides_yellow,rides_uber,rides_green,share_uber,total_rides,share_yellow
88,5400,721192,44242.0,2419.0,0.003150342578592517,767853.0,0.9392318581811884
89,5500,8416,605.0,6724.0,0.4270562083201016,15745.0,0.5345188948872658
90,5501,243063,20337.0,12.0,4.555601111566671e-05,263412.0,0.9227483941506082
91,5502,566374,38660.0,,,,
92,5600,661731,34837.0,537.0,0.0007703287166208821,697105.0,0.9492558509837112
93,5601,15,15.0,,,,
94,5602,83,96.0,48.0,0.21145374449339208,227.0,0.3656387665198238
95,5700,440720,27725.0,7638.0,0.016043421000119726,476083.0,0.925720935215078
96,5800,898524,53658.0,259.0,0.00027193285463351534,952441.0,0.9433907192151535
97,5801,58,213.0,164.0,0.37701149425287356,435.0,0.13333333333333333
98,5804,87,131.0,93.0,0.2990353697749196,311.0,0.2797427652733119
99,5900,185367,20218.0,57156.0,0.21753742278517627,262741.0,0.7055122725421613
100,5902,1933,831.0,16009.0,0.8527672721461673,18773.0,0.10296702711340755
101,6000,115563,10649.0,2191.0,0.017063464249277665,128403.0,0.9000023363940095
102,6100,519220,29238.0,21526.0,0.037765972378172016,569984.0,0.9109378508870425
103,6200,35143,4394.0,1470.0,0.035847538225181066,41007.0,0.8570000243860805
104,6201,186,80.0,114.0,0.3,380.0,0.48947368421052634
105,6202,103,59.0,127.0,0.43944636678200694,289.0,0.356401384083045
106,6300,388329,30080.0,79729.0,0.16005404124961356,498138.0,0.7795610854823363
107,6400,418254,16147.0,725.0,0.0016661840478390168,435126.0,0.9612250244756692
108,6500,580157,36795.0,39471.0,0.060130434186492554,656423.0,0.8838157712328788
109,6501,8459,720.0,32561.0,0.7800910397700048,41740.0,0.20265931959750838
110,6502,8398,575.0,24603.0,0.7327555396711937,33576.0,0.25011913271384323
111,6600,388767,8978.0,263.0,0.0006607907378746155,398008.0,0.9767818737311813
112,6700,731879,61500.0,27757.0,0.03380317024220105,821136.0,0.8913005884530699
113,6800,689660,29577.0,1427.0,0.001980118335312989,720664.0,0.9569785642130035
114,6900,76940,12936.0,28365.0,0.2398914082255732,118241.0,0.6507049162304108
115,7000,479548,14062.0,1587.0,0.00320478516630755,495197.0,0.9683984353701658
116,7100,504414,33124.0,38196.0,0.0663431376295303,575734.0,0.8761233486297492
117,7200,807722,22785.0,19039.0,0.02241079352972058,849546.0,0.9507689989712153
118,7201,37,19.0,12.0,0.17647058823529413,68.0,0.5441176470588235
119,7202,66,6.0,,,,
120,7300,701941,46762.0,10897.0,0.014345708267509215,759600.0,0.9240929436545551
121,7400,808734,37318.0,916.0,0.001081504850242276,846968.0,0.9548577986417432
122,7500,123619,26088.0,34779.0,0.18851836995761195,184486.0,0.6700725258285182
123,7600,942595,32550.0,2332.0,0.002385733884275538,977477.0,0.9643142498493571
124,7700,580697,38793.0,19032.0,0.029806334002587226,638522.0,0.909439298880853
125,7800,387572,13840.0,1043.0,0.002591594091264862,402455.0,0.9630194680150576
126,7900,274200,34891.0,7180.0,0.02270204982435949,316271.0,0.8669780030416953
127,8000,924206,28069.0,481.0,0.000504851189601535,952756.0,0.9700343004924661
128,8100,405764,23830.0,1274.0,0.0029568220429458674,430868.0,0.9417362161961436
129,8200,633945,34184.0,533.0,0.0007971142370883944,668662.0,0.9480798968686721
130,8300,1305822,94919.0,7448.0,0.005289062760751575,1408189.0,0.9273059227134994
131,8400,652975,43741.0,5023.0,0.007157931937657733,701739.0,0.9305097764268482
132,8500,3338,2245.0,6582.0,0.5410604192355117,12165.0,0.2743937525688451
133,8600,250,135.0,1485.0,0.7941176470588235,1870.0,0.13368983957219252
134,8601,85759,3068.0,12.0,0.00013507581129909162,88839.0,0.9653305417665665
135,8602,39385,779.0,,,,
136,8603,53029,5884.0,,,,
137,8700,319756,22148.0,1745.0,0.005077855602664346,343649.0,0.9304726625132039
138,8800,483457,18878.0,618.0,0.0012287430435845895,502953.0,0.9612369346638752
139,8900,347305,22582.0,2088.0,0.005613280462396666,371975.0,0.9336783385980241
140,9000,470782,19961.0,296.0,0.0006028034433110201,491039.0,0.9587466575974617
141,9100,438443,23985.0,914.0,0.001972624972482529,463342.0,0.9462621562474371
142,9200,1136033,50170.0,4463.0,0.0037483223674817288,1190666.0,0.9541155958094042
143,9300,538535,25684.0,337.0,0.0005969292683099639,564556.0,0.9539089124905236
144,9400,923792,47066.0,317.0,0.0003264087316909929,971175.0,0.9512106468968002
145,9500,467674,24332.0,2383.0,0.004820091061896604,494389.0,0.9459636035591407
146,9600,671034,55363.0,1452.0,0.001994919275838807,727849.0,0.9219412268203981
147,9601,13,30.0,,,,
148,9602,12,16.0,1.0,0.034482758620689655,29.0,0.41379310344827586
149,9700,218208,7181.0,1087.0,0.004799625567389039,226476.0,0.963492820431304
150,9800,627459,16707.0,1235.0,0.001913539024575419,645401.0,0.9722002290049132
151,9900,332449,41890.0,551.0,0.0014697644642428446,374890.0,0.8867907919656433
152,10000,995528,51488.0,207.0,0.000197665635686,1047223.0,0.9506361109333924
153,10100,1699311,40766.0,3149.0,0.0018064209689391967,1743226.0,0.9748082004284011
154,10200,689045,58053.0,276.0,0.00036929301795352796,747374.0,0.9219547375209735
155,10300,408330,20541.0,1469.0,0.0034135799600316027,430340.0,0.9488543941999349
156,10400,787543,52377.0,434.0,0.0005164490202938286,840354.0,0.9371562460582088
157,10500,467,93.0,586.0,0.5113438045375218,1146.0,0.4075043630017452
158,10600,199,219.0,562.0,0.573469387755102,980.0,0.2030612244897959
159,10601,143328,8609.0,1.0,6.5816319814661244e-06,151938.0,0.9433321486395767
160,10602,138429,4819.0,653.0,0.004537841988589378,143901.0,0.9619738570267059
161,10701,160,,,,,
162,10800,513720,14923.0,150.0,0.000283664874535026,528793.0,0.971495462307557
163,10900,478241,22024.0,6.0,1.1993499523258395e-05,500271.0,0.9559638675837696
164,11000,417107,10587.0,503.0,0.0011746929567465442,428197.0,0.9741007059834609
165,11100,419376,20477.0,1249.0,0.002831544631400447,441102.0,0.9507460859393065
166,11200,179,80.0,287.0,0.5256410256410257,546.0,0.32783882783882784
167,11201,788208,49708.0,66.0,7.876064163669386e-05,837982.0,0.9406025427753818
168,11202,628950,41959.0,24.0,3.577108295463183e-05,670933.0,0.9374259426798205
169,11203,594822,25858.0,18.0,2.899961011635288e-05,620698.0,0.9583114493682918
170,11300,794637,33088.0,20853.0,0.024574052120135095,848578.0,0.9364336572477722
171,11400,180,510.0,892.0,0.5638432364096081,1582.0,0.11378002528445007
172,11401,478710,31448.0,18.0,3.528194191808317e-05,510176.0,0.938323245311422
173,11402,690222,16721.0,18.0,2.5461093327637592e-05,706961.0,0.9763225977104819
174,11500,683136,24770.0,43785.0,0.058248668668375705,751691.0,0.9087989612753112
175,11502,118,61.0,2099.0,0.9214223002633889,2278.0,0.05179982440737489
176,11600,180812,5170.0,588.0,0.003151632095192153,186570.0,0.9691375891086456
177,11700,419240,23740.0,8608.0,0.019061622540900113,451588.0,0.9283683357396565
178,11800,419470,17773.0,283.0,0.0006468187033456297,437526.0,0.9587315953794746
179,11900,717003,41081.0,13320.0,0.017267216659493597,771404.0,0.9294779389269436
180,12000,520117,14923.0,1171.0,0.0021838418085417866,536211.0,0.9699856959294009
181,12100,679993,25451.0,12755.0,0.017759701698275825,718199.0,0.9468030448385475
182,12101,25,115.0,241.0,0.6325459317585301,381.0,0.06561679790026247
183,12102,48,6.0,1678.0,0.9688221709006929,1732.0,0.02771362586605081
184,12200,372218,20673.0,365.0,0.000928148585145554,393256.0,0.9465030412759119
185,12300,138,201.0,1230.0,0.7839388145315488,1569.0,0.08795411089866156
186,12301,499,324.0,1710.0,0.6750888274772996,2533.0,0.19699960521121201
187,12400,426536,13671.0,963.0,0.0021828320148695513,441170.0,0.9668291134936646
188,12500,790316,31531.0,13704.0,0.016401153250968522,835551.0,0.9458620718543811
189,12600,447775,18169.0,380.0,0.0008148840720185965,466324.0,0.9602229351266501
190,12601,48,28.0,228.0,0.75,304.0,0.15789473684210525
191,12602,28,9.0,126.0,0.7730061349693251,163.0,0.17177914110429449
192,12700,513164,16861.0,6091.0,0.011361347171134606,536116.0,0.9571883696811884
193,12701,78,49.0,5108.0,0.9757402101241642,5235.0,0.01489971346704871
194,12800,671510,23850.0,230.0,0.0003306545522506074,695590.0,0.9653819060078495
195,12801,148,63.0,19.0,0.08260869565217391,230.0,0.6434782608695652
196,12804,6,,,,,
197,12805,5,,,,,
198,12806,7,,,,,
199,12900,299390,12279.0,36.0,0.00011549381626858728,311705.0,0.9604914903514541
200,12901,21612,2057.0,23751.0,0.5008646140868832,47420.0,0.4557570645297343
201,12902,20239,2819.0,19281.0,0.45539573442924963,42339.0,0.4780226268924632
202,13000,542992,30342.0,1073.0,0.0018680134469113365,574407.0,0.9453088141335325
203,13100,823418,36110.0,18510.0,0.021081092162298216,878038.0,0.937793125126703
204,13200,242272,7826.0,1143.0,0.0045494166955234215,251241.0,0.9643012087995192
205,13201,8,,,,,
206,13203,5,12.0,,,,
207,13204,1,,,,,
208,13300,557340,19708.0,27099.0,0.044854977348228166,604147.0,0.9225238228444401
209,13301,3,6.0,,,,
210,13302,3,19.0,6.0,0.21428571428571427,28.0,0.10714285714285714
211,13400,550546,17128.0,1479.0,0.002598598267952554,569153.0,0.9673075605329323
212,13500,153389,10602.0,14927.0,0.0834292804524978,178918.0,0.8573145239718754
213,13600,255279,10630.0,1438.0,0.0053787773941731155,267347.0,0.954860163009123
214,13700,979576,47847.0,14865.0,0.014261893066023977,1042288.0,0.9398323687886649
215,13800,393954,13894.0,557.0,0.001363842264418898,408405.0,0.9646160061703456
216,13900,407573,14651.0,8999.0,0.02086855292969067,431223.0,0.9451559865777104
217,14000,429111,17417.0,187.0,0.00041861141891362503,446715.0,0.9605923239649441
218,14100,6052,1828.0,11437.0,0.5920691618781384,19317.0,0.313299166537247
219,14200,525100,23757.0,106.0,0.00019309133766756594,548963.0,0.9565307680116875
220,14201,254,49.0,539.0,0.6401425178147269,842.0,0.3016627078384798
221,14202,195,61.0,595.0,0.699177438307873,851.0,0.2291421856639248
222,14300,23474,1319.0,26590.0,0.5174863281630111,51383.0,0.45684370317030926
223,14400,514,185.0,2029.0,0.7437683284457478,2728.0,0.18841642228739003
224,14401,196617,8139.0,17.0,8.301875735570607e-05,204773.0,0.9601705302945213
225,14402,233776,10761.0,12.0,4.9069920547620316e-05,244549.0,0.9559474788283738
226,14500,697075,24643.0,7521.0,0.010313491187388496,729239.0,0.9558937467688919
227,14600,51,37.0,71.0,0.44654088050314467,159.0,0.32075471698113206
228,14601,298842,9496.0,12.0,3.8916815307280684e-05,308350.0,0.9691649100048646
229,14602,189620,5907.0,24.0,0.000122730131781479,195551.0,0.969670316183502
230,14604,2,,,,,
231,14605,4,,,,,
232,14606,4,6.0,,,,
233,14607,1,6.0,,,,
234,14608,4,,,,,
235,14700,430018,19354.0,4000.0,0.008822776880795462,453372.0,0.9484882171814757
236,14701,73,14.0,2231.0,0.9624676445211389,2318.0,0.031492666091458156
237,14702,54,51.0,1945.0,0.948780487804878,2050.0,0.026341463414634145
238,14800,153,58.0,162.0,0.4343163538873995,373.0,0.4101876675603217
239,14801,509980,11627.0,18.0,3.4507548526240116e-05,521625.0,0.9776755331895519
240,14802,332559,8777.0,66.0,0.00019332048435568625,341402.0,0.9740979841945858
241,14900,694887,21298.0,33521.0,0.044712193846654556,749706.0,0.9268793366999863
242,15000,108,94.0,169.0,0.4555256064690027,371.0,0.29110512129380056
243,15001,313599,11045.0,18.0,5.54422753509804e-05,324662.0,0.9659245615440057
244,15002,248089,7859.0,29.0,0.0001132914285267817,255977.0,0.9691847314407154
245,15100,52931,10526.0,11182.0,0.14981444017202802,74639.0,0.7091600905692734
246,15200,2938,697.0,1033.0,0.22129391602399315,4668.0,0.6293916023993145
247,15300,556356,19058.0,22637.0,0.03785128693037885,598051.0,0.9302818655934025
248,15400,260929,8178.0,84.0,0.0003120460936658358,269191.0,0.969308037787296
249,15500,123663,7233.0,74900.0,0.3639526521409551,205796.0,0.6009008921456199
250,15600,101,45.0,301.0,0.6733780760626398,447.0,0.22595078299776286
251,15601,127929,3995.0,10179.0,0.07163114079224224,142103.0,0.9002554485126986
252,15602,29864,345.0,11723.0,0.279571687494038,41932.0,0.7122007059047982
253,15603,7,6.0,6.0,0.3157894736842105,19.0,0.3684210526315789
254,15700,639523,20210.0,54411.0,0.07619051619841377,714144.0,0.895509869158041
255,15800,54,130.0,399.0,0.6843910806174958,583.0,0.09262435677530018
256,15801,229173,6704.0,316.0,0.001337888929815871,236193.0,0.9702785433945967
257,15802,124607,2330.0,44837.0,0.2610232049087755,171774.0,0.7254124605586411
258,15900,226999,13833.0,28822.0,0.10688511944936845,269654.0,0.8418158084063281
259,16000,422,352.0,497.0,0.3910306845003934,1271.0,0.33202202989771834
260,16001,231158,9294.0,443.0,0.0018389754872454804,240895.0,0.9595798999564126
261,16002,165628,4986.0,110414.0,0.39289323483780975,281028.0,0.5893647608067524
262,16100,538023,21621.0,28496.0,0.048451049069949334,588140.0,0.9147872955418778
263,16200,8492,814.0,18846.0,0.6694373401534527,28152.0,0.3016481955100881
264,16300,60726,5875.0,12709.0,0.16024460975917287,79310.0,0.7656789812129617
265,16400,46619,1095.0,30099.0,0.3868119722925475,77813.0,0.5991158289745929
266,16500,437318,16359.0,4808.0,0.010486711669956487,458485.0,0.9538327317142328
267,16600,44413,822.0,21478.0,0.32194624735808614,66713.0,0.665732316040352
268,16700,252426,9915.0,4467.0,0.01674237654043357,266808.0,0.9460960690833858
269,16800,69320,2750.0,108714.0,0.6013474643773785,180784.0,0.38344101247898044
270,16900,480264,16482.0,8259.0,0.01635429352184632,505005.0,0.9510084058573678
271,16901,10,,6.0,,,
272,17000,40275,470.0,12669.0,0.2371850076758902,53414.0,0.754015801100835
273,17005,4,1.0,,,,
274,17007,2,6.0,,,,
275,17008,9,,,,,
276,17009,4,,,,,
277,17010,6,6.0,,,,
278,17011,1,,,,,
279,17012,7,,,,,
280,17100,49655,3340.0,3740.0,0.0659205076231603,56735.0,0.8752093064246056
281,17200,35642,473.0,34423.0,0.4880064646006408,70538.0,0.5052879299101194
282,17201,21,54.0,24.0,0.24242424242424243,99.0,0.21212121212121213
283,17202,22,21.0,30.0,0.410958904109589,73.0,0.3013698630136986
284,17300,384869,13356.0,5936.0,0.014687216233134815,404161.0,0.9522665472423119
285,17400,92,76.0,157.0,0.48307692307692307,325.0,0.28307692307692306
286,17401,26413,612.0,27587.0,0.5051453892917308,54612.0,0.4836482824287702
287,17402,10690,239.0,19827.0,0.6446547015216543,30756.0,0.3475744570165171
288,17500,218717,9726.0,1426.0,0.006203533316802179,229869.0,0.9514854112559762
289,17600,53,78.0,56.0,0.2994652406417112,187.0,0.28342245989304815
290,17601,17,17.0,18.0,0.34615384615384615,52.0,0.3269230769230769
291,17602,23,55.0,8.0,0.09302325581395349,86.0,0.26744186046511625
292,17700,305655,7238.0,54.0,0.00017255317993142608,312947.0,0.9766989298507415
293,17701,94,4.0,2893.0,0.9672350384486794,2991.0,0.03142761618187897
294,17702,79,60.0,2436.0,0.9460194174757282,2575.0,0.030679611650485435
295,17800,11158,1264.0,14918.0,0.5456474030724213,27340.0,0.4081199707388442
296,17900,60043,5405.0,18275.0,0.21827932587222149,83723.0,0.7171625479258985
297,17901,253,77.0,6336.0,0.9504950495049505,6666.0,0.037953795379537955
298,17902,138,56.0,5231.0,0.9642396313364056,5425.0,0.02543778801843318
299,18000,38433,677.0,21418.0,0.353852762357917,60528.0,0.63496233148295
300,18100,351638,10246.0,17944.0,0.04724243605000158,379828.0,0.9257821961519425
301,18101,25961,422.0,14484.0,0.35441799006533387,40867.0,0.6352558298871951
302,18102,22318,360.0,19494.0,0.4622498340130893,42172.0,0.5292136962913782
303,18200,30355,624.0,42934.0,0.5808721063953567,73913.0,0.4106855356973739
304,18201,20,15.0,44.0,0.5569620253164557,79.0,0.25316455696202533
305,18202,16,6.0,43.0,0.6615384615384615,65.0,0.24615384615384617
306,18300,114828,8276.0,31165.0,0.20201725557305744,154269.0,0.744336191976353
307,18301,816,327.0,12856.0,0.9183513108079149,13999.0,0.05828987784841774
308,18302,203,37.0,4930.0,0.9535783365570599,5170.0,0.03926499032882012
309,18400,10979,529.0,23508.0,0.6713502398903358,35016.0,0.31354238062599954
310,18401,42,43.0,111.0,0.5663265306122449,196.0,0.21428571428571427
311,18402,21,48.0,53.0,0.4344262295081967,122.0,0.1721311475409836
312,18500,240215,4177.0,5330.0,0.021343734232466504,249722.0,0.9619296657883567
313,18501,3874,714.0,6524.0,0.5871130309575234,11112.0,0.3486321094312455
314,18502,1511,713.0,2336.0,0.512280701754386,4560.0,0.331359649122807
315,18600,16978,448.0,22050.0,0.5585672307224643,39476.0,0.43008410173269834
316,18700,41104,5516.0,15454.0,0.24896091761446015,62074.0,0.6621774011663498
317,18701,17,24.0,,,,
318,18702,20,6.0,7.0,0.21212121212121213,33.0,0.6060606060606061
319,18800,40871,853.0,40539.0,0.492797490974071,82263.0,0.49683332725526663
320,18900,114207,3784.0,9905.0,0.07744573716144368,127896.0,0.8929677237755677
321,18901,12,5.0,,,,
322,18902,10,1.0,,,,
323,19000,26892,1048.0,47936.0,0.6317676208550793,75876.0,0.3544203700774949
324,19100,195935,6743.0,11865.0,0.05530359881235929,214543.0,0.9132668043236087
325,19200,3575,671.0,2398.0,0.3609271523178808,6644.0,0.5380794701986755
326,19300,140192,5331.0,45165.0,0.2368528696089948,190688.0,0.7351904681993623
327,19400,29039,1025.0,21363.0,0.41540435957765376,51427.0,0.5646644758589846
328,19500,147229,5179.0,34963.0,0.18659771255957433,187371.0,0.7857619375463653
329,19600,51593,1353.0,184460.0,0.7769812051927921,237406.0,0.21731969705904652
330,19700,7496,2796.0,19918.0,0.6593181065872228,30210.0,0.24812975835815956
331,19701,2111,177.0,980.0,0.2998776009791922,3268.0,0.6459608323133414
332,19702,55591,826.0,30792.0,0.3530828240204566,87209.0,0.6374456764783452
333,19800,14190,587.0,33308.0,0.6926900280752833,48085.0,0.2951024227929708
334,19900,142331,4835.0,100336.0,0.40539470388118076,247502.0,0.5750701004436328
335,20000,25914,1919.0,88200.0,0.760128584109693,116033.0,0.22333301733127645
336,20100,5447,2455.0,15337.0,0.6599681569774948,23239.0,0.23439046430569302
337,20101,45021,1897.0,70559.0,0.6006196957702359,117477.0,0.38323246252457926
338,20102,41723,1339.0,46341.0,0.5183383107949397,89403.0,0.46668456315783585
339,20200,3246,193.0,2753.0,0.4446059431524548,6192.0,0.5242248062015504
340,20300,116210,4670.0,108910.0,0.4739544801775534,229790.0,0.5057226163018408
341,20400,132,148.0,2146.0,0.8845836768342952,2426.0,0.05441055234954658
342,20500,6206,2544.0,6513.0,0.42671820742973204,15263.0,0.4066042062504095
343,20501,182,37.0,1831.0,0.8931707317073171,2050.0,0.08878048780487804
344,20502,59,5.0,654.0,0.9108635097493036,718.0,0.08217270194986072
345,20600,11249,646.0,21465.0,0.6434352517985612,33360.0,0.3372002398081535
346,20601,75,13.0,1763.0,0.9524581307401405,1851.0,0.04051863857374392
347,20700,5089,2861.0,5862.0,0.42441355343179843,13812.0,0.36844772661453806
348,20701,30987,1405.0,42111.0,0.5652255613867898,74503.0,0.41591613760519713
349,20800,15899,1556.0,93900.0,0.8432490682950923,111355.0,0.14277760316106147
350,20801,69,13.0,12.0,0.1276595744680851,94.0,0.7340425531914894
351,20803,5,,,,,
352,20804,6,,,,,
353,20900,100,25.0,1916.0,0.9387555120039196,2041.0,0.04899559039686428
354,20901,22874,467.0,66930.0,0.7414341261313157,90271.0,0.2533925623954537
355,21000,6573,510.0,7506.0,0.5144972239358421,14589.0,0.450544931112482
356,21001,137,62.0,3614.0,0.9478101232625229,3813.0,0.03592971413585103
357,21002,46,30.0,1164.0,0.9387096774193548,1240.0,0.037096774193548385
358,21100,26240,2279.0,21193.0,0.4263155777277116,49712.0,0.5278403604763438
359,21200,19240,931.0,48118.0,0.7046229993117485,68289.0,0.28174376546735197
360,21300,1432,1198.0,2897.0,0.5241541523430432,5527.0,0.25909173149990955
361,21301,174,54.0,3302.0,0.9354107648725213,3530.0,0.04929178470254957
362,21302,62,75.0,2116.0,0.9391921881935198,2253.0,0.027518863737239236
363,21303,6899,655.0,13636.0,0.643511090136857,21190.0,0.32557810287871636
364,21400,8616,893.0,24354.0,0.7191920385081062,33863.0,0.2544369961314709
365,21500,16185,3653.0,32953.0,0.624216248981834,52791.0,0.3065863499460135
366,21501,88,7.0,2424.0,0.962286621675268,2519.0,0.034934497816593885
367,21502,89,15.0,2500.0,0.9600614439324117,2604.0,0.03417818740399386
368,21600,17044,1215.0,24855.0,0.5764948740548314,43114.0,0.39532402467875866
369,21601,95,46.0,2165.0,0.9388551604509974,2306.0,0.0411968777103209
370,21602,267,50.0,5683.0,0.9471666666666667,6000.0,0.0445
371,21700,6881,2189.0,13995.0,0.606763494472144,23065.0,0.29833080424886194
372,21703,6056,478.0,13541.0,0.6745205479452054,20075.0,0.30166874221668744
373,21800,11485,1513.0,22272.0,0.631471505528778,35270.0,0.32563084774595974
