,census_tract,rides
352,36047003400,259
353,36047003500,5783
354,36047003600,288
355,36047003700,6113
356,36047003800,38
357,36047003900,2102
358,36047004100,3122
359,36047004300,4045
360,36047004400,41
361,36047004500,2964
362,36047004600,3
363,36047004700,1203
364,36047004900,1955
365,36047005000,48
366,36047005100,1712
367,36047005201,72
368,36047005202,78
369,36047005300,4173
370,36047005400,128
371,36047005601,15
372,36047005602,96
373,36047005800,404
374,36047005900,2915
375,36047006000,364
376,36047006200,228
377,36047006300,1382
378,36047006400,236
379,36047006500,4527
380,36047006600,302
381,36047006700,3213
382,36047006800,179
383,36047006900,3262
384,36047007000,58
385,36047007100,2047
386,36047007200,156
387,36047007400,128
388,36047007500,3521
389,36047007600,95
390,36047007700,1615
391,36047007800,99
392,36047008000,178
393,36047008200,194
394,36047008400,1094
395,36047008500,2027
396,36047008600,74
397,36047008800,65
398,36047009000,34
399,36047009200,204
400,36047009400,6
401,36047009600,61
402,36047009800,38
403,36047010000,36
404,36047010100,505
405,36047010200,52
406,36047010400,47
407,36047010600,51
408,36047010800,25
409,36047011000,150
410,36047011200,74
411,36047011400,472
412,36047011600,13
413,36047011700,1531
414,36047011800,55
415,36047011900,2773
416,36047012000,162
417,36047012100,2479
418,36047012200,85
419,36047012600,111
420,36047012700,2339
421,36047012801,63
422,36047012901,2020
423,36047012902,2819
424,36047013000,237
425,36047013100,2444
426,36047013200,47
427,36047013300,2975
428,36047013400,151
429,36047013500,2094
430,36047013600,148
431,36047013700,2193
432,36047013800,300
433,36047013900,1267
434,36047014000,236
435,36047014100,1485
436,36047014200,132
437,36047014300,770
438,36047014500,1018
439,36047014700,1427
440,36047014800,34
441,36047014900,1825
442,36047015000,46
443,36047015100,1748
444,36047015200,528
445,36047015300,1510
446,36047015400,10
447,36047015500,1759
448,36047015700,2283
449,36047015900,3641
450,36047016000,272
451,36047016100,2458
452,36047016200,253
453,36047016300,2755
454,36047016400,12
455,36047016500,2793
456,36047016600,82
457,36047016700,2172
458,36047016800,12
459,36047016900,960
460,36047017000,29
461,36047017100,845
462,36047017200,82
463,36047017400,19
464,36047017600,70
465,36047017800,39
466,36047017900,1294
467,36047018000,39
468,36047018100,4551
469,36047018200,26
470,36047018300,3134
471,36047018400,21
472,36047018501,449
473,36047018600,32
474,36047018700,2593
475,36047018800,41
476,36047019000,22
477,36047019100,3053
478,36047019200,69
479,36047019300,1778
480,36047019400,23
481,36047019500,2530
482,36047019600,18
483,36047019700,2755
484,36047019800,57
485,36047019900,2069
486,36047020000,38
487,36047020100,2441
488,36047020200,45
489,36047020300,1830
490,36047020400,70
491,36047020500,1557
492,36047020600,51
493,36047020700,2711
494,36047020800,34
495,36047021000,26
496,36047021100,1530
497,36047021200,77
498,36047021300,1198
499,36047021400,37
500,36047021500,2990
501,36047021600,12
502,36047021700,2152
503,36047021800,48
504,36047021900,1483
505,36047022000,55
506,36047022100,1744
507,36047022200,39
508,36047022400,22
509,36047022600,64
510,36047022700,1574
511,36047022800,106
512,36047022900,1405
513,36047023000,16
514,36047023100,2871
515,36047023200,24
516,36047023300,1967
517,36047023400,12
518,36047023500,1694
519,36047023600,24
520,36047023800,16
521,36047024000,23
522,36047024100,1642
523,36047024200,33
524,36047024300,1531
525,36047024400,1
526,36047024500,1278
527,36047024600,47
528,36047024700,1197
529,36047024800,11
530,36047024900,1031
531,36047025000,44
532,36047025100,687
533,36047025200,37
534,36047025300,1199
535,36047025400,19
536,36047025500,931
537,36047025600,71
538,36047025700,473
539,36047025800,18
540,36047025901,674
541,36047025902,342
542,36047026000,54
543,36047026100,1183
544,36047026200,46
545,36047026300,298
546,36047026400,21
547,36047026500,649
548,36047026600,17
549,36047026700,664
550,36047026800,8
551,36047026900,1044
552,36047027000,66
553,36047027100,390
554,36047027200,12
555,36047027300,724
556,36047027400,34
557,36047027500,716
558,36047027600,57
559,36047027700,545
560,36047027800,59
561,36047027900,737
562,36047028000,23
563,36047028100,702
564,36047028200,42
565,36047028300,673
566,36047028400,33
567,36047028501,585
568,36047028502,295
569,36047028600,42
570,36047028700,1083
571,36047028800,57
572,36047028900,573
573,36047029000,80
574,36047029100,605
575,36047029200,19
576,36047029300,362
577,36047029400,38
578,36047029500,1080
579,36047029600,63
580,36047029700,1026
581,36047029800,15
582,36047029900,223
583,36047030000,41
584,36047030100,132
585,36047030200,27
586,36047030300,171
587,36047030400,44
588,36047030500,2019
589,36047030600,129
590,36047030700,188
591,36047030800,19
592,36047030900,263
593,36047031100,516
594,36047031300,831
595,36047031400,13
596,36047031500,1225
597,36047031701,1125
598,36047031702,943
599,36047031900,513
600,36047032100,609
601,36047032300,458
602,36047032500,438
603,36047032600,50
604,36047032700,671
605,36047032800,8
606,36047032900,342
607,36047033000,78
608,36047033100,283
609,36047033300,134
610,36047033500,301
611,36047033600,15
612,36047033700,340
613,36047033900,239
614,36047034000,23
615,36047034100,877
616,36047034200,21
617,36047034300,568
618,36047034500,261
619,36047034700,421
620,36047034800,48
621,36047034900,252
622,36047035000,264
623,36047035100,258
624,36047035200,67
625,36047035300,510
626,36047035400,79
627,36047035500,299
628,36047035601,79
629,36047035602,60
630,36047035700,191
631,36047035900,285
632,36047036001,82
633,36047036002,108
634,36047036100,90
635,36047036200,12
636,36047036300,76
637,36047036400,6
638,36047036501,123
639,36047036502,68
640,36047036600,85
641,36047036700,186
642,36047036900,199
643,36047037000,28
644,36047037100,211
645,36047037300,381
646,36047037401,76
647,36047037402,38
648,36047037500,663
649,36047037700,530
650,36047037900,517
651,36047038100,362
652,36047038200,63
653,36047038300,577
654,36047038500,244
655,36047038600,32
656,36047038700,694
657,36047038800,18
658,36047038900,871
659,36047039000,63
660,36047039100,870
661,36047039200,45
662,36047039300,1665
663,36047039400,120
664,36047039500,724
665,36047039600,454
666,36047039700,648
667,36047039800,53
668,36047039900,368
669,36047040000,8
670,36047040100,433
671,36047040200,103
672,36047040300,314
673,36047040400,47
674,36047040500,174
675,36047040600,17
676,36047040800,20
677,36047040900,196
678,36047041000,43
679,36047041100,237
680,36047041200,76
681,36047041300,215
682,36047041401,373
683,36047041402,276
684,36047041500,232
685,36047041600,87
686,36047041700,194
687,36047041800,89
688,36047041900,500
689,36047042000,114
690,36047042100,633
691,36047042200,129
692,36047042300,779
693,36047042400,34
694,36047042500,2431
695,36047042600,54
696,36047042700,1859
697,36047042800,21
698,36047042900,1021
699,36047043000,27
700,36047043100,827
701,36047043200,50
702,36047043300,426
703,36047043400,32
704,36047043500,392
705,36047043600,1
706,36047043700,607
707,36047043800,116
708,36047043900,263
709,36047044000,121
710,36047044100,474
711,36047044200,41
712,36047044300,677
713,36047044400,113
714,36047044500,581
715,36047044600,16
716,36047044700,2705
717,36047044800,32
718,36047044900,458
719,36047045000,42
720,36047045200,194
721,36047045300,1900
722,36047045400,96
723,36047045600,181
724,36047045800,482
725,36047046000,119
726,36047046201,75
727,36047046202,21
728,36047046400,24
729,36047046800,1
730,36047047000,17
731,36047047200,33
732,36047047400,12
733,36047047600,49
734,36047047700,2777
735,36047047800,66
736,36047048000,42
737,36047048100,3014
738,36047048200,99
739,36047048400,97
740,36047048500,3872
741,36047048600,44
742,36047048800,172
743,36047048900,582
744,36047049000,213
745,36047049100,1421
746,36047049200,370
747,36047049300,2000
748,36047049400,481
749,36047049500,2552
750,36047049600,240
751,36047049700,2358
752,36047049800,161
753,36047049900,1782
754,36047050000,530
755,36047050100,3403
756,36047050202,672
757,36047050300,3054
758,36047050400,699
759,36047050500,1676
760,36047050600,372
761,36047050700,488
762,36047050801,234
763,36047050803,353
764,36047050804,570
765,36047050900,399
766,36047051001,319
767,36047051002,262
768,36047051100,2789
769,36047051200,192
770,36047051300,4220
771,36047051400,331
772,36047051500,3073
773,36047051601,252
774,36047051602,84
775,36047051700,8172
776,36047051800,91
777,36047051900,5804
778,36047052000,298
779,36047052300,6593
780,36047052500,2860
781,36047052600,225
782,36047052700,1783
783,36047052800,132
784,36047052900,430
785,36047053000,59
786,36047053100,469
787,36047053200,265
788,36047053300,127
789,36047053400,100
790,36047053500,360
791,36047053700,375
792,36047053800,118
793,36047053900,64
794,36047054200,155
795,36047054300,946
796,36047054400,100
797,36047054500,191
798,36047054600,86
799,36047054700,1715
800,36047054800,59
801,36047054900,8215
802,36047055000,118
803,36047055100,7927
804,36047055200,152
805,36047055300,8105
806,36047055400,104
807,36047055500,12745
808,36047055600,63
809,36047055700,9261
810,36047055800,19
811,36047056000,78
812,36047056100,3259
813,36047056200,39
814,36047056300,3007
815,36047056400,68
816,36047056500,4698
817,36047056600,35
818,36047056800,24
819,36047056900,3719
820,36047057000,90
821,36047057100,2368
822,36047057200,46
823,36047057300,2696
824,36047057400,44
825,36047057500,3533
826,36047057600,42
827,36047057800,61
828,36047057900,572
829,36047058000,57
830,36047058200,65
831,36047058400,55
832,36047058600,22
833,36047058800,94
834,36047058900,645
835,36047059000,30
836,36047059100,2267
837,36047059200,39
838,36047059300,1445
839,36047059401,57
840,36047059402,58
841,36047059600,55
842,36047059800,16
843,36047060000,128
844,36047060600,61
845,36047060800,116
846,36047061002,55
847,36047061003,64
848,36047061004,123
849,36047061200,56
850,36047061600,25
851,36047062000,12
852,36047062200,169
853,36047062600,15
854,36047062800,66
855,36047063200,48
856,36047063600,14
857,36047063800,15
858,36047064000,10
859,36047064200,86
860,36047064400,28
861,36047064600,55
862,36047064800,38
863,36047065000,43
864,36047065200,81
865,36047065400,6
866,36047065600,12
867,36047065800,18
868,36047066000,23
869,36047066200,47
870,36047066600,5
871,36047067000,79
872,36047067200,27
873,36047067400,103
874,36047067600,78
875,36047067800,55
876,36047068000,21
877,36047068200,88
878,36047068600,54
879,36047068800,60
880,36047069000,45
881,36047069200,197
882,36047069601,110
883,36047069602,52
884,36047069800,70
885,36047070000,15
886,36047070201,112
887,36047070202,92
888,36047070600,13
889,36047072000,102
890,36047072200,35
891,36047072400,61
892,36047072600,148
893,36047072800,36
894,36047073000,32
895,36047073200,18
896,36047073400,64
897,36047073600,15
898,36047073800,54
899,36047074000,37
900,36047074200,115
901,36047074400,96
902,36047074600,71
903,36047074800,62
904,36047075000,59
905,36047075200,105
906,36047075400,42
907,36047075600,126
908,36047075800,71
909,36047076000,45
910,36047076200,113
911,36047076400,93
912,36047076600,284
913,36047076800,66
914,36047077000,191
915,36047077200,184
916,36047077400,361
917,36047077600,15
918,36047078000,60
919,36047078200,35
920,36047078400,39
921,36047078600,148
922,36047078800,138
923,36047079000,154
924,36047079200,86
925,36047079400,68
926,36047079601,455
927,36047079602,322
928,36047079801,383
929,36047079802,903
930,36047080000,841
931,36047080200,392
932,36047080400,420
933,36047080600,508
934,36047080800,77
935,36047081000,73
936,36047081400,72
937,36047081600,343
938,36047081800,262
939,36047082000,293
940,36047082200,298
941,36047082400,148
942,36047082600,99
943,36047082800,74
944,36047083000,88
945,36047083200,45
946,36047083400,23
947,36047083600,66
948,36047083800,19
949,36047084000,26
950,36047084600,80
951,36047084800,75
952,36047085000,1
953,36047085200,10
954,36047085400,69
955,36047085600,204
956,36047085800,54
957,36047086000,45
958,36047086200,162
959,36047086400,82
960,36047086600,186
961,36047086800,103
962,36047087000,64
963,36047087200,210
964,36047087401,175
965,36047087600,348
966,36047087800,127
967,36047088000,125
968,36047088200,226
969,36047088400,101
970,36047088600,154
971,36047088800,57
972,36047089000,167
973,36047089200,113
974,36047089400,108
975,36047089600,48
976,36047089800,121
977,36047090000,131
978,36047090200,39
979,36047090600,44
980,36047090800,121
981,36047091000,49
982,36047091200,129
983,36047091600,96
984,36047091800,64
985,36047092000,85
986,36047092200,105
987,36047092400,74
988,36047092800,477
989,36047093000,28
990,36047093200,149
991,36047093400,45
992,36047093600,43
993,36047093800,57
994,36047094401,113
995,36047094402,109
996,36047094600,95
997,36047095000,160
998,36047095400,92
999,36047095600,103
1000,36047095800,68
1001,36047096000,27
1002,36047096200,25
1003,36047096400,37
1004,36047096600,16
1005,36047096800,68
1006,36047097000,28
1007,36047097400,137
1008,36047098200,70
1009,36047098400,51
1010,36047098600,11
1011,36047098800,50
1012,36047099000,31
1013,36047099200,24
1014,36047099400,34
1015,36047099600,53
1016,36047099800,31
1017,36047100400,24
1018,36047100600,15
1019,36047100800,95
1020,36047101000,15
1021,36047101200,10
1022,36047101400,47
1023,36047101600,8
1024,36047101800,1
1025,36047102000,74
1026,36047102200,213
1027,36047102400,85
1028,36047102600,30
1029,36047103400,20
1030,36047105801,213
1031,36047105804,131
1032,36047107000,32
